Age,CommuteMethod,ErrandsMethod,CommuteDistance,PrevResDist,Credits,Field,Recycle,CommuteTime,Languages,Countries,Cities,OwnCar,OnCampus,SocialTime,Weddings,VoiceCalls,Smartphones,Coffee,Siblings,LongestFlight,SportsHours,HarryPotter,Drinks,CashinWallet,CreditCards
26,Bike,Car,1.5,5643.06,4,Medical or Life Sciences,Occasionally,15,2,2,2,Yes,Yes,10,0,1,3,6,1,12,4,6,0,0,7
24,Bike,Bike,1,1466,8,Engineering or Math/Statistics,Occasionally,3,2,1,3,No,Yes,12,3,5,3,0,1,17,7,0,3,0,28
27,Bike,Bike,1.6,10000,10,Engineering or Math/Statistics,Always,15,3,4,10,Yes,No,10,10,1,3,10,1,13,5,7,3,80,2
24,Marguerite shuttle,Car,0,1852,10,Engineering or Math/Statistics,Sometimes,0,2,2,7,Yes,Yes,5,0,5,7,0,0,16,6,3,0,25,0
29,Bike,Car,0,6000,15,Engineering or Math/Statistics,Sometimes,0,2,2,2,Yes,Yes,4,0,1,6,6,1,28,6,0,1,20,1
21,Bike,Car,1,2400,1,Physical Sciences,Always,10,2,3,3,"No, but I often rent/Zipcar",Yes,12,0,2,3,2,1,15,6,7,0,218,0
25,Walk,Bike,0.5,5680,10,Medical or Life Sciences,Sometimes,13,2,3,4,No,Yes,8,5,0.5,1,5,1,13,7,5,0,27,1
24,Bike,Bike,2,6870,7,Engineering or Math/Statistics,Sometimes,10,2,3,5,No,Yes,25,1,4,1,15,0,13,2,7,2,65,0
27,Walk,Car,1.5,931.62,3,Physical Sciences,Sometimes,25,3,1,6,Yes,No,7,1,0.5,3,3,0,15,6,7,1,38,3
21,Bike,Car,0.5,6488.24,14,Engineering or Math/Statistics,Always,3,2,2,7,Yes,Yes,5,1,3,2,0,4,12,3,7,0,17,1
20,Walk,Walk,2,12,15,Engineering or Math/Statistics,Always,12,2,1,1,No,Yes,2,4,3,1,2,4,2,3,2,1,23,1
26,Car,Car,5,2341,1,Engineering or Math/Statistics,Always,25,2,2,5,Yes,No,5,3,1,3,1,2,14,7,7,3,0,
28,Car,Car,9,321,13,"Business, Economics, or Social Sciences",Never,24,2,4,9,Yes,No,20,1,1,5,4,1,14,10,7,1,78,1
26,Bike,Marguerite shuttle,1.7,8650,4,Physical Sciences,Always,15,4,2,3,No,No,10,4,2,3,14,0,16,3,7,4,150,2
32,Bike,Car,1,1482.68,4,Engineering or Math/Statistics,Always,20,2,2,5,Yes,Yes,4,0,1,2,20,1,,5,0,1,10,4
24,Walk,Walk,2,6799,6,Engineering or Math/Statistics,Always,20,3,4,5,No,Yes,14,1,7,2,10,0,14,10,7,1,0,1
25,Bike,Car,0,2690,1,Physical Sciences,Always,0,1,1,3,"No, but I often rent/Zipcar",Yes,15,2,4,2,14,1,13,1,7,8,0,1
28,Walk,Car,1,2690,4,Engineering or Math/Statistics,Always,25,1,3,7,Yes,Yes,15,1,1,2,0,2,,7,7,0,122.75,1
25,Bike,Bike,4.2,5374,17,"Business, Economics, or Social Sciences",Sometimes,20,4,2,3,No,No,4,0,2,4,4,3,13,10,7,3,49.57,2
22,Walk,Walk,0,3000,10,Engineering or Math/Statistics,Sometimes,0,2,2,3,No,Yes,4,2,2,1,0,2,16,2,0,3,0,0
33,Bike,Car,2.7,6001,2,Engineering or Math/Statistics,Sometimes,15,2,3,6,Yes,No,10,0,2,5,20,0,14,1,1,8,12,4
21,Bike,Car,0,2717,18,"Business, Economics, or Social Sciences",Occasionally,8,2,3,4,Yes,Yes,15,0,3,3,5,2,18,3,1,3,10,3
25,Bike,Bike,0.5,5936,9,Medical or Life Sciences,Always,5,2,2,3,No,Yes,35,2,2,2,20,1,15,4,3,9,55,2
24,Marguerite shuttle,Car,7,2450,10,"Business, Economics, or Social Sciences",Occasionally,20,2,1,3,Yes,No,8,1,1,1,14,1,8,0,7,2,43,0
28,Bike,Car,1,,7,Medical or Life Sciences,Sometimes,10,2,1,7,Yes,Yes,8,0,1,2,0,1,18,4,7,14,6,1
18,Bike,Bike,0,2001,18,Engineering or Math/Statistics,Sometimes,0,3,2,3,No,Yes,7,0,2,3,2,0,15,2,6,0,25,1
24,Public transit (e.g. Caltrain),Car,7,2473,10,"Business, Economics, or Social Sciences",Sometimes,25,2,1,3,Yes,No,10,1,1,1,14,2,8,0,7,2,58,0
32,Car,Car,4,5600,2,Engineering or Math/Statistics,Occasionally,15,2,2,2,Yes,No,3,4,5,4,0,2,12,2,7,1,0,4
24,Walk,Walk,1.2,8995.7,10,Physical Sciences,Sometimes,20,5,4,4,No,Yes,4,1,3,2,0,1,16,3,1,0,1,0
