acarology	study of mites
calorifics	study of heat
cambistry	science of international exchange
campanology	the art of bell ringing
carcinology	study of crabs and other crustaceans
cardiology	study of the heart
caricology	study of sedges
carpology	study of fruit
cartography	the science of making maps and globes
cartophily	the hobby of collecting cigarette cards
castrametation	the art of designing a camp
catacoustics	science of echoes or reflected sounds
catalactics	science of commercial exchange
catechectics	the art of teaching by question and answer
cetology	study of whales and dolphins
chalcography	the art of engraving on copper or brass
chalcotriptics	art of taking rubbings from ornamental brasses
chaology	the study of chaos or chaos theory
characterology	study of development of character
chemistry	study of properties of substances
chirocosmetics	beautifying the hands; art of manicure
chirography	study of handwriting or penmanship
chirology	study of the hands
chiropody	medical science of feet
chorology	science of the geographic description of anything
chrematistics	the study of wealth; political economy
chronobiology	study of biological rhythms
chrysology	study of precious metals
ciselure	the art of chasing metal
climatology	study of climate
clinology	study of aging or individual decline after maturity
codicology	study of manuscripts
coleopterology	study of beetles and weevils
cometology	study of comets
conchology	study of shells
coprology	study of pornography
cosmetology	study of cosmetics
cosmology	study of the universe
craniology	study of the skull
criminology	study of crime; criminals
cryobiology	study of life under cold conditions
cryptology	study of codes
cryptozoology	study of animals for whose existence there is no conclusive proof
ctetology	study of the inheritance of acquired characteristics
cynology	scientific study of dogs
cytology	study of living cells
dactyliology	study of rings
dactylography	the study of fingerprints
dactylology	study of sign language
deltiology	the collection and study of picture postcards
demology	study of human behaviour
demonology	study of demons
dendrochronology	study of tree rings
dendrology	study of trees
deontology	the theory or study of moral obligation
dermatoglyphics	the study of skin patterns and fingerprints
dermatology	study of skin
desmology	study of ligaments
diabology	study of devils
diagraphics	art of making diagrams or drawings
dialectology	study of dialects
dioptrics	study of light refraction
diplomatics	science of deciphering ancient writings and texts
diplomatology	study of diplomats
docimology	the art of assaying
dosiology	the study of doses
dramaturgy	art of producing and staging dramatic works
dysgenics	the study of racial degeneration
dysteleology	study of purposeless organs
ecclesiology	study of church affairs
eccrinology	study of excretion
ecology	study of environment
economics	study of material wealth
edaphology	study of soils
Egyptology	study of ancient Egypt
ekistics	study of human settlement
electrochemistry	study of relations between electricity and chemicals
electrology	study of electricity
electrostatics	study of static electricity
embryology	study of embryos
emetology	study of vomiting
emmenology	the study of menstruation
endemiology	study of local diseases
endocrinology	study of glands
enigmatology	study of enigmas
entomology	study of insects
entozoology	study of parasites that live inside larger organisms
enzymology	study of enzymes
ephebiatrics	branch of medicine dealing with adolescence
epidemiology	study of diseases; epidemics
epileptology	study of epilepsy
epistemology	study of grounds of knowledge
eremology	study of deserts
ergology	study of effects of work on humans
ergonomics	study of people at work
escapology	study of freeing oneself from constraints
eschatology	study of death; final matters
ethnogeny	study of origins of races or ethnic groups
ethnology	study of cultures
ethnomethodology	study of everyday communication
ethnomusicology	study of comparative musical systems
ethology	study of natural or biological character
ethonomics	study of economic and ethical principles of a society
etiology	the science of causes; especially of disease
etymology	study of origins of words
euthenics	science concerned with improving living conditions
exobiology	study of extraterrestrial life
floristry	the art of cultivating and selling flowers
fluviology	study of watercourses
folkloristics	study of folklore and fables
futurology	study of future
garbology	study of garbage
gastroenterology	study of stomach; intestines
gastronomy	study of fine dining
gemmology	study of gems and jewels
genealogy	study of descent of families
genesiology	study of reproduction and heredity
genethlialogy	the art of casting horoscopes
geochemistry	study of chemistry of the earth's crust
geochronology	study of measuring geological time
geogeny	science of the formation of the earth's crust
geogony	study of formation of the earth
geography	study of surface of the earth and its inhabitants
geology	study of earth's crust
geomorphogeny	study of the origins of land forms
geoponics	study of agriculture
geotechnics	study of increasing habitability of the earth
geratology	study of decadence and decay
gerocomy	study of old age
gerontology	study of the elderly; aging
gigantology	study of giants
glaciology	study of ice ages and glaciation
glossology	study of language; study of the tongue
glyptography	the art of engraving on gems
glyptology	study of gem engravings
gnomonics	the art of measuring time using sundials
gnosiology	study of knowledge; philosophy of knowledge
gnotobiology	study of life in germ-free conditions
graminology	study of grasses
grammatology	study of systems of writing
graphemics	study of systems of representing speech in writing
graphology	study of handwriting
gromatics	science of surveying
gynaecology	study of women’s physiology
gyrostatics	the study of rotating bodies
haemataulics	study of movement of blood through blood vessels
hagiology	study of saints
halieutics	study of fishing
hamartiology	study of sin
harmonics	study of musical acoustics
hedonics	part of ethics or psychology dealing with pleasure
helcology	study of ulcers
heliology	science of the sun
helioseismology	study of sun's interior by observing its surface oscillations
helminthology	study of worms
hematology	study of blood
heortology	study of religious feasts
hepatology	study of liver
heraldry	study of coats of arms
heresiology	study of heresies
herpetology	study of reptiles and amphibians
hierology	science of sacred matters
hippiatrics	study of diseases of horses
hippology	the study of horses
histology	study of the tissues of organisms
histopathology	study of changes in tissue due to disease
historiography	study of writing history
historiology	study of history
homiletics	the art of preaching
hoplology	the study of weapons
horography	art of constructing sundials or clocks
horology	science of time measurement
horticulture	study of gardening
hydrobiology	study of aquatic organisms
hydrodynamics	study of movement in liquids
hydrogeology	study of ground water
hydrography	study of investigating bodies of water
hydrokinetics	study of motion of fluids
hydrology	study of water resources
hydrometeorology	study of atmospheric moisture
hydropathy	study of treating diseases with water
hyetology	science of rainfall
hygiastics	science of health and hygiene
hygienics	study of sanitation; health
hygiology	hygienics; study of cleanliness
hygrology	study of humidity
hygrometry	science of humidity
hymnography	study of writing hymns
hymnology	study of hymns
hypnology	study of sleep; study of hypnosis
hypsography	science of measuring heights
iamatology	study of remedies
iatrology	treatise or text on medical topics; study of medicine
iatromathematics	archaic practice of medicine in conjunction with astrology
ichnography	art of drawing ground plans; a ground plan
ichnology	science of fossilized footprints
ichthyology	study of fish
iconography	study of drawing symbols
iconology	study of icons; symbols
ideogeny	study of origins of ideas
ideology	science of ideas; system of ideas used to justify behaviour
idiomology	study of idiom, jargon or dialect
idiopsychology	psychology of one's own mind
immunogenetics	study of genetic characteristics of immunity
immunology	study of immunity
immunopathology	study of immunity to disease
insectology	study of insects
irenology	the study of peace
iridology	study of the iris; diagnosis of disease based on the iris of the eye
kalology	study of beauty
karyology	study of cell nuclei
kidology	study of kidding
kinematics	study of motion
kinesics	study of gestural communication
kinesiology	study of human movement and posture
kinetics	study of forces producing or changing motion
koniology	study of atmospheric pollutants and dust
ktenology	science of putting people to death
kymatology	study of wave motion
labeorphily	collection and study of beer bottle labels
larithmics	study of population statistics
laryngology	study of larynx
lepidopterology	study of butterflies and moths
leprology	study of leprosy
lexicology	study of words and their meanings
lexigraphy	art of definition of words
lichenology	study of lichens
limacology	study of slugs
limnobiology	study of freshwater ecosystems
limnology	study of bodies of fresh water
linguistics	study of language
lithology	study of rocks
liturgiology	study of liturgical forms and church rituals
loimology	study of plagues and epidemics
loxodromy	study of sailing along rhumb-lines
magirics	art of cookery
magnanerie	art of raising silkworms
magnetics	study of magnetism
malacology	study of molluscs
malariology	study of malaria
mammalogy	study of mammals
manège	the art of horsemanship
Mariology	study of the Virgin Mary
martyrology	study of martyrs
mastology	study of mammals
mathematics	study of magnitude, number, and forms
mazology	mammalogy; study of mammals
mechanics	study of action of force on bodies
meconology	study of or treatise concerning opium
melittology	study of bees
mereology	study of part-whole relationships
mesology	ecology
metallogeny	study of the origin and distribution of metal deposits
metallography	study of the structure and constitution of metals
metallurgy	study of alloying and treating metals
metaphysics	study of principles of nature and thought
metapolitics	study of politics in theory or abstract
metapsychology	study of nature of the mind
meteoritics	the study of meteors
meteorology	study of weather
metrics	study of versification
metrology	science of weights and measures
microanatomy	study of microscopic tissues
microbiology	study of microscopic organisms
microclimatology	study of local climates
micrology	study or discussion of trivialities
micropalaeontology	study of microscopic fossils
microphytology	study of very small plant life
microscopy	study of minute objects
mineralogy	study of minerals
molinology	study of mills and milling
momilogy	study of mummies
morphology	study of forms and the development of structures
muscology	the study of mosses
museology	the study of museums
musicology	study of music
mycology	study of funguses
myology	study of muscles
myrmecology	study of ants
mythology	study of myths; fables; tales
naology	study of church or temple architecture
nasology	study of the nose
nautics	art of navigation
nematology	the study of nematodes
neonatology	study of newborn babies
neossology	study of nestling birds
nephology	study of clouds
nephrology	study of the kidneys
neurobiology	study of anatomy of the nervous system
neurology	study of nervous system
neuropsychology	study of relation between brain and behaviour
neurypnology	study of hypnotism
neutrosophy	study of the origin and nature of philosophical neutralities
nidology	study of nests
nomology	the science of the laws; especially of the mind
noology	science of the intellect
nosology	study of diseases
nostology	study of senility
notaphily	collecting of bank-notes and cheques
numerology	study of numbers
numismatics	study of coins
nymphology	study of nymphs
obstetrics	study of midwifery
oceanography	study of oceans
oceanology	study of oceans
odology	science of the hypothetical mystical force of od
odontology	study of teeth
oenology	study of wines
oikology	science of housekeeping
olfactology	study of the sense of smell
ombrology	study of rain
oncology	study of tumours
oneirology	study of dreams
onomasiology	study of nomenclature
onomastics	study of proper names
ontology	science of pure being; the nature of things
oology	study of eggs
ophiology	study of snakes
ophthalmology	study of eye diseases
optics	study of light
optology	study of sight
optometry	science of examining the eyes
orchidology	study of orchids
ornithology	study of birds
orology	study of mountains
orthoepy	study of correct pronunciation
orthography	study of spelling
orthopterology	study of cockroaches
oryctology	mineralogy or paleontology
osmics	scientific study of smells
osmology	study of smells and olfactory processes
osphresiology	study of the sense of smell
osteology	study of bones
otology	study of the ear
otorhinolaryngology	study of ear, nose and throat
paedology	study of children
paedotrophy	art of rearing children
paidonosology	study of children's diseases; pediatrics
palaeoanthropology	study of early humans
palaeobiology	study of fossil plants and animals
palaeoclimatology	study of ancient climates
palaeolimnology	study of ancient fish
palaeolimnology	study of ancient lakes
palaeontology	study of fossils
palaeopedology	study of early soils
paleobotany	study of ancient plants
paleo-osteology	study of ancient bones
palynology	study of pollen
papyrology	study of paper
parapsychology	study of unexplained mental phenomena
parasitology	study of parasites
paroemiology	study of proverbs
parthenology	study of virgins
pataphysics	the science of imaginary solutions
pathology	study of disease
patrology	study of early Christianity
pedagogics	study of teaching
pedology	study of soils
pelology	study of mud
penology	study of crime and punishment
periodontics	study of gums
peristerophily	pigeon-collecting
pestology	science of pests
petrology	study of rocks
pharmacognosy	study of drugs of animal and plant origin
pharmacology	study of drugs
pharology	study of lighthouses
pharyngology	study of the throat
phenology	study of organisms as affected by climate
phenomenology	study of phenomena
philately	study of postage stamps
philematology	the act or study of kissing
phillumeny	collecting of matchbox labels
philology	study of ancient texts; historical linguistics
philosophy	science of knowledge or wisdom
phoniatrics	study and correction of speech defects
phonology	study of speech sounds
photobiology	study of effects of light on organisms
phraseology	study of phrases
phrenology	study of bumps on the head
phycology	study of algae and seaweeds
physics	study of properties of matter and energy
physiology	study of processes of life
phytology	study of plants; botany
piscatology	study of fishes
pisteology	science or study of faith
planetology	study of planets
plutology	political economy; study of wealth
pneumatics	study of mechanics of gases
podiatry	study and treatment of disorders of the foot; chiropody
podology	study of the feet
polemology	study of war
pomology	study of fruit-growing
posology	science of quantity or dosage
potamology	study of rivers
praxeology	study of practical or efficient activity; science of efficient action
primatology	study of primates
proctology	study of rectum
prosody	study of versification
protistology	study of protists
proxemics	study of man’s need for personal space
psalligraphy	the art of paper-cutting to make pictures
psephology	study of election results and voting trends
pseudology	art or science of lying
pseudoptics	study of optical illusions
psychobiology	study of biology of the mind
psychogenetics	study of internal or mental states
psychognosy	study of mentality, personality or character
psychology	study of mind
psychopathology	study of mental illness
psychophysics	study of link between mental and physical processes
pteridology	study of ferns
pterylology	study of distribution of feathers on birds
pyretology	study of fevers
pyrgology	study of towers
pyroballogy	study of artillery
pyrography	study of woodburning
quinology	study of quinine
raciology	study of racial differences
radiology	study of X-rays and their medical applications
reflexology	study of reflexes
rhabdology	knowledge or learning concerning divining rods
rhabdology	art of calculating using numbering rods
rheology	science of the deformation or flow of matter
rheumatology	study of rheumatism
rhinology	study of the nose
rhochrematics	science of inventory management and the movement of products
runology	study of runes
sarcology	study of fleshy parts of the body
satanology	study of the devil
scatology	study of excrement or obscene literature
schematonics	art of using gesture to express tones
sciagraphy	art of shading
scripophily	collection of bond and share certificates
sedimentology	study of sediment
seismology	study of earthquakes
selenodesy	study of the shape and features of the moon
selenology	study of the moon
semantics	study of meaning
semantology	science of meanings of words
semasiology	study of meaning; semantics
semiology	study of signs and signals
semiotics	study of signs and symbols
serology	study of serums
sexology	study of sexual behaviour
siderography	art of engraving on steel
sigillography	study of seals
significs	science of meaning
silvics	study of tree's life
sindonology	study of the shroud of Turin
Sinology	study of China
sitology	dietetics
sociobiology	study of biological basis of human behaviour
sociology	study of society
somatology	science of the properties of matter
sophiology	science of ideas
soteriology	study of theological salvation
spectrology	study of ghosts
spectroscopy	study of spectra
speleology	study and exploration of caves
spermology	study of seeds
sphagnology	study of peat moss
sphragistics	study of seals and signets
sphygmology	study of the pulse
splanchnology	study of the entrails or viscera
spongology	study of sponges
stasiology	study of political parties
statics	study of bodies and forces in equilibrium
stemmatology	study of relationships between texts
stoichiology	science of elements of animal tissues
stomatology	study of the mouth
storiology	study of folk tales
stratigraphy	study of geological layers or strata
stratography	art of leading an army
stylometry	studying literature by means of statistical analysis
suicidology	study of suicide
symbology	study of symbols
symptomatology	study of symptoms of illness
synecology	study of ecological communities
synectics	study of processes of invention
syntax	study of sentence structure
syphilology	study of syphilis
systematology	study of systems
taxidermy	art of curing and stuffing animals
tectonics	science of structure of objects, buildings and landforms
tegestology	study and collecting of beer mats
teleology	study of final causes; analysis in terms of purpose
telmatology	study of swamps
teratology	study of monsters, freaks, abnormal growths or malformations
teuthology	study of cephalopods
textology	study of the production of texts
thalassography	science of the sea
thanatology	study of death and its customs
thaumatology	study of miracles
theology	study of religion; religious doctrine
theriatrics	veterinary medicine
theriogenology	study of animals' reproductive systems
thermodynamics	study of relation of heat to motion
thermokinematics	study of motion of heat
thermology	study of heat
therology	study of wild mammals
thremmatology	science of breeding domestic animals and plants
threpsology	science of nutrition
tidology	study of tides
timbrology	study of postage stamps
tocology	obstetrics; midwifery
tonetics	study of pronunciation
topology	study of places and their natural features
toponymics	study of place-names
toreutics	study of artistic work in metal
toxicology	study of poisons
toxophily	love of archery; archery; study of archery
traumatology	study of wounds and their effects
tribology	study of friction and wear between surfaces
trichology	study of hair and its disorders
trophology	study of nutrition
tsiganology	study of gypsies
turnery	art of turning in a lathe
typhlology	study of blindness and the blind
typography	art of printing or using type
typology	study of types of things
ufology	study of alien spacecraft
uranography	descriptive astronomy and mapping
uranology	study of the heavens; astronomy
urbanology	study of cities
urenology	study of rust molds
urology	study of urine; urinary tract
venereology	study of venereal disease
vermeology	study of worms
vexillology	study of flags
victimology	study of victims
vinology	scientific study of vines and winemaking
virology	study of viruses
vitrics	glassy materials; glassware; study of glassware
volcanology	study of volcanoes
vulcanology	study of volcanoes
xylography	art of engraving on wood
xylology	study of wood
zenography	study of the planet Jupiter
zoiatrics	veterinary surgery
zooarchaeology	study of animal remains of archaeological sites
zoochemistry	chemistry of animals
zoogeography	study of geographic distribution of animals
zoogeology	study of fossil animal remains
zoology	study of animals
zoonomy	animal physiology
zoonosology	study of animal diseases
zoopathology	study of animal diseases
zoophysics	physics of animal bodies
zoophysiology	study of physiology of animals
zoophytology	study of plant-like animals
zoosemiotics	study of animal communication
zootaxy	science of classifying animals
zootechnics	science of breeding animals
zygology	science of joining and fastening
zymology	science of fermentation
zymurgy		branch of chemistry dealing with brewing and distilling
